Epoch,Training Loss,Validation MRR,Learning Rate
1,16686.574716977237,0,0.001
2,16250.394355599623,0,0.001
3,15893.102300244416,0,0.001
4,15767.622100171406,0,0.001
5,15601.121784121931,0,0.001
6,15289.762362007874,0,0.001
7,14955.526850346618,0,0.001
8,14661.792658676337,0,0.001
9,14436.191951031806,0,0.001
10,14219.370432078758,0,0.001
11,14018.076689619666,0.6205306947231293,0.001
12,13826.391212228473,0.6205306947231293,0.001
13,13625.942718060076,0.6205306947231293,0.001
14,13433.523753430118,0.6205306947231293,0.001
15,13282.223305089574,0.6205306947231293,0.001
16,13139.841352465151,0.6205306947231293,0.001
17,12990.547257599801,0.6205306947231293,0.001
18,12843.255565871723,0.6205306947231293,0.001
19,12691.83584062107,0.6205306947231293,0.001
20,12537.487928028275,0.6205306947231293,0.001
21,12398.553491869256,0.617444783449173,0.001
22,12257.273295359963,0.617444783449173,0.001
23,12103.319139232013,0.617444783449173,0.001
24,11963.296840090983,0.617444783449173,0.001
25,11830.908563457713,0.617444783449173,0.001
26,11688.0851565542,0.617444783449173,0.001
27,11568.034863726933,0.617444783449173,0.001
28,11444.562044063292,0.617444783449173,0.001
29,11341.126489629287,0.617444783449173,0.001
30,11246.554333344178,0.617444783449173,0.001
31,11141.697483203829,0.582055926322937,0.001
32,11034.32092360138,0.582055926322937,0.001
33,10944.580298661167,0.582055926322937,0.001
34,10846.785042911308,0.582055926322937,0.001
35,10763.25912096173,0.582055926322937,0.001
36,10680.853526690042,0.582055926322937,0.001
37,10605.269639878768,0.582055926322937,0.001
38,10533.45490220828,0.582055926322937,0.001
39,10459.107609762792,0.582055926322937,0.001
40,10393.416781733105,0.582055926322937,0.001
41,10328.800139504026,0.582741916179657,0.001
42,10251.584764990026,0.582741916179657,0.001
43,10196.789575118823,0.582741916179657,0.001
44,10130.34927804782,0.582741916179657,0.001
45,10074.707816303457,0.582741916179657,0.001
46,10006.955761833995,0.582741916179657,0.001
47,9949.238849213574,0.582741916179657,0.001
48,9905.072822890594,0.582741916179657,0.001
49,9850.900469556995,0.582741916179657,0.001
50,9797.927771308447,0.582741916179657,0.001
51,9745.664412240694,0.5923348963260651,0.001
52,9695.84040220801,0.5923348963260651,0.001
53,9652.890033669564,0.5923348963260651,0.001
54,9611.130594510443,0.5923348963260651,0.001
55,9565.602190838956,0.5923348963260651,0.001
56,9526.963023943055,0.5923348963260651,0.001
57,9487.004619571606,0.5923348963260651,0.001
58,9445.08767343975,0.5923348963260651,0.001
59,9407.298847309774,0.5923348963260651,0.001
60,9374.50568083765,0.5923348963260651,0.001
