Epoch,Training Loss,Validation MRR,Learning Rate
1,32209.025244274464,0,0.001
2,30248.153707721864,0,0.001
3,20844.540119989444,0,0.001
4,13773.42222501768,0,0.001
5,11112.132191958417,0,0.001
6,9930.563356666804,0,0.001
7,9107.113760482724,0,0.001
8,8626.155871009052,0,0.001
9,8283.570246250312,0,0.001
10,8062.189134335553,0,0.001
11,7867.185020636034,0,0.001
12,7665.149153604237,0,0.001
13,7436.566863069653,0,0.001
14,7231.290466793876,0,0.001
15,6974.573115663505,0,0.001
16,6742.353853064437,0,0.001
17,6568.5539925041285,0,0.001
18,6391.0054612715385,0,0.001
19,6327.902931829756,0,0.001
20,6170.989204833993,0,0.001
21,6130.405725971983,0.2198367565870285,0.001
22,5956.37720846855,0.2198367565870285,0.001
23,5919.98904274206,0.2198367565870285,0.001
24,5838.126983974687,0.2198367565870285,0.001
25,5792.695310434741,0.2198367565870285,0.001
26,5691.290626016582,0.2198367565870285,0.001
27,5672.0731445623205,0.2198367565870285,0.001
28,5592.041649883588,0.2198367565870285,0.001
29,5557.416629879083,0.2198367565870285,0.001
30,5484.486675515435,0.2198367565870285,0.001
31,5383.159152827115,0.2198367565870285,0.001
32,5393.371817918376,0.2198367565870285,0.001
33,5357.723321124845,0.2198367565870285,0.001
34,5264.376594453072,0.2198367565870285,0.001
35,5220.099654219314,0.2198367565870285,0.001
36,5252.143376155157,0.2198367565870285,0.001
37,5200.034918448946,0.2198367565870285,0.001
38,5150.896071003514,0.2198367565870285,0.001
39,5111.415016999966,0.2198367565870285,0.001
40,5059.285868949553,0.2198367565870285,0.001
41,5071.20791611467,0.3364468812942505,0.001
42,5031.527081138144,0.3364468812942505,0.001
43,5032.357362262427,0.3364468812942505,0.001
44,5024.038105227584,0.3364468812942505,0.001
45,4925.286324083356,0.3364468812942505,0.001
46,4913.135758816192,0.3364468812942505,0.001
47,4900.345249604646,0.3364468812942505,0.001
48,4931.305440841509,0.3364468812942505,0.001
49,4941.72443291617,0.3364468812942505,0.001
50,4910.385702119786,0.3364468812942505,0.001
51,4933.696715297248,0.3364468812942505,0.001
52,4852.679338103366,0.3364468812942505,0.001
53,4854.5312075137335,0.3364468812942505,0.001
54,4795.424471630181,0.3364468812942505,0.001
55,4823.865716663168,0.3364468812942505,0.001
56,4740.742288807833,0.3364468812942505,0.001
57,4735.243866312996,0.3364468812942505,0.001
58,4739.546124507567,0.3364468812942505,0.001
59,4713.950901323402,0.3364468812942505,0.001
60,4691.4350544521285,0.3364468812942505,0.001
61,4760.492220480131,0.42057061195373535,0.001
62,4683.86922854129,0.42057061195373535,0.001
63,4669.093226155597,0.42057061195373535,0.001
64,4698.891040409892,0.42057061195373535,0.001
65,4634.004839691242,0.42057061195373535,0.001
66,4653.566603068053,0.42057061195373535,0.001
67,4699.429560072236,0.42057061195373535,0.001
68,4625.698223782832,0.42057061195373535,0.001
69,4596.985760921701,0.42057061195373535,0.001
70,4614.268649491874,0.42057061195373535,0.001
71,4585.076016315584,0.42057061195373535,0.001
72,4568.9891188296615,0.42057061195373535,0.001
73,4609.454917527555,0.42057061195373535,0.001
74,4541.243874221296,0.42057061195373535,0.001
75,4529.825367468369,0.42057061195373535,0.001
76,4583.177131832223,0.42057061195373535,0.001
77,4531.687166328333,0.42057061195373535,0.001
78,4485.748603953134,0.42057061195373535,0.001
79,4522.22843971088,0.42057061195373535,0.001
80,4457.736107588765,0.42057061195373535,0.001
81,4490.830739848412,0.4401777982711792,0.001
82,4529.02155442565,0.4401777982711792,0.001
83,4433.153269087068,0.4401777982711792,0.001
84,4430.203162961703,0.4401777982711792,0.001
