Epoch,Training Loss,Validation MRR,Learning Rate
1,46577.237511467036,0,0.001
2,39713.25324964783,0,0.001
3,34162.02444149906,0,0.001
4,31069.33457295896,0,0.001
5,29366.6641609458,0,0.001
6,28070.01149792821,0,0.001
7,26856.31094767613,0,0.001
8,25880.9476766985,0,0.001
9,24989.534904528777,0,0.001
10,24236.6739718931,0,0.001
11,23568.781066316453,0,0.001
12,23154.708436813078,0,0.001
13,22278.514818487383,0,0.001
14,21667.32633206638,0,0.001
15,20926.399408150213,0,0.001
16,20451.03152578664,0,0.001
17,19742.85491049871,0,0.001
18,19031.31730128612,0,0.001
19,18499.110206722373,0,0.001
20,18147.443687833344,0,0.001
21,17419.194021354455,0.0595426969230175,0.001
22,16975.08716517436,0.0595426969230175,0.001
23,16559.59563291456,0.0595426969230175,0.001
24,16232.034748904613,0.0595426969230175,0.001
25,15767.573087883335,0.0595426969230175,0.001
26,15397.53120186278,0.0595426969230175,0.001
27,15090.078918195377,0.0595426969230175,0.001
28,14777.142427717186,0.0595426969230175,0.001
29,14440.142134531616,0.0595426969230175,0.001
30,14171.05960229162,0.0595426969230175,0.001
31,13941.137615554402,0.0595426969230175,0.001
32,13695.768067293986,0.0595426969230175,0.001
33,13499.146393413435,0.0595426969230175,0.001
34,13220.156563051762,0.0595426969230175,0.001
35,13108.247651681233,0.0595426969230175,0.001
36,12963.927530665358,0.0595426969230175,0.001
37,12728.303827356414,0.0595426969230175,0.001
38,12535.23377888833,0.0595426969230175,0.001
39,12408.87279225169,0.0595426969230175,0.001
40,12296.138560333384,0.0595426969230175,0.001
41,12148.704779665308,0.08962374925613403,0.001
42,11971.67503685743,0.08962374925613403,0.001
43,11863.283598353504,0.08962374925613403,0.001
44,11772.077290756015,0.08962374925613403,0.001
45,11648.977132613985,0.08962374925613403,0.001
46,11562.371478811401,0.08962374925613403,0.001
47,11474.271053370772,0.08962374925613403,0.001
48,11483.768535017442,0.08962374925613403,0.001
49,11215.515289940466,0.08962374925613403,0.001
50,11183.196590861666,0.08962374925613403,0.001
51,11048.262038483559,0.08962374925613403,0.001
