Epoch,Training Loss,Validation MRR,Learning Rate
1,30520.354375810915,0,0.001
2,29184.354914940366,0,0.001
3,24444.49877638856,0,0.001
4,16541.24134154725,0,0.001
5,12387.656257336212,0,0.001
6,10961.413370836377,0,0.001
7,10426.457446790359,0,0.001
8,9956.940961971955,0,0.001
9,9511.193260288135,0,0.001
10,9294.243603393666,0,0.001
11,9064.439328883689,0,0.001
12,8907.163856099147,0,0.001
13,8870.031846657002,0,0.001
14,8606.586952336746,0,0.001
15,8467.02923056738,0,0.001
16,8247.0350909544,0,0.001
17,8032.783390830395,0,0.001
18,7736.686410013279,0,0.001
19,7586.144525560472,0,0.001
20,7250.641953133748,0,0.001
21,7061.134781511781,0.19038096070289612,0.001
22,6738.0874845441795,0.19038096070289612,0.001
23,6564.660109097847,0.19038096070289612,0.001
24,6343.14440851713,0.19038096070289612,0.001
25,6254.52962807207,0.19038096070289612,0.001
26,6087.8533579680125,0.19038096070289612,0.001
27,6043.271598810488,0.19038096070289612,0.001
28,5888.300674627957,0.19038096070289612,0.001
29,5826.735547065587,0.19038096070289612,0.001
30,5720.519151123579,0.19038096070289612,0.001
31,5698.384929119445,0.19038096070289612,0.001
32,5542.225658915053,0.19038096070289612,0.001
33,5537.683344371071,0.19038096070289612,0.001
34,5453.233958976982,0.19038096070289612,0.001
35,5393.9149235052555,0.19038096070289612,0.001
36,5319.425128874368,0.19038096070289612,0.001
37,5339.770232910562,0.19038096070289612,0.001
38,5234.720999002667,0.19038096070289612,0.001
39,5236.918013244131,0.19038096070289612,0.001
40,5169.094320575361,0.19038096070289612,0.001
41,5141.352892439761,0.280026912689209,0.001
42,5052.669239799316,0.280026912689209,0.001
43,5092.516882586728,0.280026912689209,0.001
44,5019.9925831889395,0.280026912689209,0.001
45,5033.399128231288,0.280026912689209,0.001
46,4998.898770594107,0.280026912689209,0.001
47,4997.705226633575,0.280026912689209,0.001
48,4972.849937310038,0.280026912689209,0.001
49,4941.34812003208,0.280026912689209,0.001
50,4895.711296896331,0.280026912689209,0.001
51,4895.372169366836,0.280026912689209,0.001
52,4845.294099254608,0.280026912689209,0.001
53,4863.386647958978,0.280026912689209,0.001
54,4843.498667697051,0.280026912689209,0.001
55,4856.782257798124,0.280026912689209,0.001
56,4779.99846355885,0.280026912689209,0.001
57,4730.736745097575,0.280026912689209,0.001
58,4744.465154367687,0.280026912689209,0.001
59,4726.894697756294,0.280026912689209,0.001
60,4735.281172745095,0.280026912689209,0.001
61,4702.036161723772,0.3241509795188904,0.001
62,4661.698786776611,0.3241509795188904,0.001
63,4652.125929693738,0.3241509795188904,0.001
64,4675.792025915685,0.3241509795188904,0.001
65,4640.4284751749965,0.3241509795188904,0.001
66,4635.2564923977025,0.3241509795188904,0.001
67,4637.536725549026,0.3241509795188904,0.001
68,4626.090326364471,0.3241509795188904,0.001
69,4597.2035122323305,0.3241509795188904,0.001
70,4623.587726979668,0.3241509795188904,0.001
71,4592.08705584394,0.3241509795188904,0.001
72,4603.46790979828,0.3241509795188904,0.001
73,4593.811537500505,0.3241509795188904,0.001
74,4557.123207439158,0.3241509795188904,0.001
75,4534.792230003406,0.3241509795188904,0.001
76,4578.028458438191,0.3241509795188904,0.001
77,4587.71313970898,0.3241509795188904,0.001
78,4590.320158699735,0.3241509795188904,0.001
79,4563.857007001278,0.3241509795188904,0.001
80,4537.160282536169,0.3241509795188904,0.001
81,4528.076200398319,0.3507069945335388,0.001
82,4521.183682759573,0.3507069945335388,0.001
83,4522.22975975043,0.3507069945335388,0.001
84,4501.918404073263,0.3507069945335388,0.001
85,4539.185076797841,0.3507069945335388,0.001
86,4496.507883624477,0.3507069945335388,0.001
87,4504.350120329995,0.3507069945335388,0.001
88,4524.0923334483705,0.3507069945335388,0.001
89,4482.402089467842,0.3507069945335388,0.001
90,4462.4599670877515,0.3507069945335388,0.001
91,4454.134617445524,0.3507069945335388,0.001
92,4427.5190543686285,0.3507069945335388,0.001
93,4423.011159111713,0.3507069945335388,0.001
94,4478.228580537958,0.3507069945335388,0.001
95,4477.04656171537,0.3507069945335388,0.001
96,4474.200436435008,0.3507069945335388,0.001
97,4451.474213368692,0.3507069945335388,0.001
98,4402.400004901007,0.3507069945335388,0.001
99,4412.248475854777,0.3507069945335388,0.001
100,4425.599982489195,0.3507069945335388,0.001
101,4402.313782714232,0.38307470083236694,0.001
102,4409.93182702083,0.38307470083236694,0.001
103,4443.912462463276,0.38307470083236694,0.001
104,4384.395292597823,0.38307470083236694,0.001
105,4388.980049441471,0.38307470083236694,0.001
106,4399.809995783158,0.38307470083236694,0.001
107,4386.071240827299,0.38307470083236694,0.001
108,4361.226767526961,0.38307470083236694,0.001
109,4375.864970557372,0.38307470083236694,0.001
110,4359.223537172879,0.38307470083236694,0.001
111,4369.339962550693,0.38307470083236694,0.001
112,4351.572833560622,0.38307470083236694,0.001
113,4361.786951449511,0.38307470083236694,0.001
114,4358.58829714825,0.38307470083236694,0.001
115,4353.273054730444,0.38307470083236694,0.001
116,4314.388689217808,0.38307470083236694,0.001
117,4318.113323708751,0.38307470083236694,0.001
118,4350.6828278370385,0.38307470083236694,0.001
119,4312.356584998416,0.38307470083236694,0.001
120,4287.528035420979,0.38307470083236694,0.001
