Epoch,Training Loss,Validation MRR,Learning Rate
1,12133.1603519983,0,0.001
2,12936.816871388864,0,0.001
3,11108.954884010112,0,0.001
4,10911.590881105005,0,0.001
5,10411.405438561012,0,0.001
6,10217.199947082085,0,0.001
7,10273.256866334516,0,0.001
8,9920.459873197235,0,0.001
9,10034.386948446241,0,0.001
10,9825.06346765292,0,0.001
11,9696.248798924566,0.03492234618170187,0.001
12,9624.306481763702,0.03492234618170187,0.001
13,9599.17782976917,0.03492234618170187,0.001
14,9459.353386460987,0.03492234618170187,0.001
15,9405.16246284552,0.03492234618170187,0.001
16,9386.966921548006,0.03492234618170187,0.001
17,9359.193596770469,0.03492234618170187,0.001
18,9184.427665462841,0.03492234618170187,0.001
19,9195.343964528154,0.03492234618170187,0.001
20,9079.521311354485,0.03492234618170187,0.001
21,9023.812613237105,0.01655683573335409,0.001
22,9010.707932368565,0.01655683573335409,0.001
23,9012.375598187102,0.01655683573335409,0.001
24,8984.816206608897,0.01655683573335409,0.001
25,9073.578779729214,0.01655683573335409,0.001
26,8937.146672220406,0.01655683573335409,0.001
27,9006.833762704038,0.01655683573335409,0.001
28,8832.945865231863,0.01655683573335409,0.001
29,8788.945292202377,0.01655683573335409,0.001
30,8801.69061896958,0.01655683573335409,0.001
31,8761.408047998364,0.036225353251211345,0.001
32,8779.486660518318,0.036225353251211345,0.001
33,8966.846580494539,0.036225353251211345,0.001
34,8836.470932062151,0.036225353251211345,0.001
35,8810.703787413322,0.036225353251211345,0.001
36,8711.147386407201,0.036225353251211345,0.001
37,8702.766900634406,0.036225353251211345,0.001
38,8711.934584673712,0.036225353251211345,0.001
39,8674.08997502522,0.036225353251211345,0.001
40,8740.089732022803,0.036225353251211345,0.001
41,8689.333737207806,0.0025274512881878763,0.001
42,8621.260117999165,0.0025274512881878763,0.001
43,8737.387779683804,0.0025274512881878763,0.001
44,8663.982073868163,0.0025274512881878763,0.001
45,8635.335075519783,0.0025274512881878763,0.001
46,8596.069356620266,0.0025274512881878763,0.001
47,8604.196148435241,0.0025274512881878763,0.001
48,8614.956226310656,0.0025274512881878763,0.001
49,8585.538113540348,0.0025274512881878763,0.001
50,8614.207316351612,0.0025274512881878763,0.001
51,8627.243139912931,0.002754213724983856,0.001
52,8633.03314138689,0.002754213724983856,0.001
53,8555.64187983618,0.002754213724983856,0.001
54,8527.213306099651,0.002754213724983856,0.001
55,8500.24980748864,0.002754213724983856,0.001
56,8502.59256520387,0.002754213724983856,0.001
57,8491.206670326974,0.002754213724983856,0.001
58,8463.383117943768,0.002754213724983856,0.001
59,8472.984691919391,0.002754213724983856,0.001
60,8488.926136516475,0.002754213724983856,0.001
61,8476.355552033254,0.004490552062634379,0.001
62,8466.192619636735,0.004490552062634379,0.001
63,8472.145477032796,0.004490552062634379,0.001
64,8641.415101316165,0.004490552062634379,0.001
65,8497.636888240188,0.004490552062634379,0.001
66,8465.020908118418,0.004490552062634379,0.001
67,8507.467511082012,0.004490552062634379,0.001
68,8456.101416980495,0.004490552062634379,0.001
69,8432.498271291945,0.004490552062634379,0.001
70,8430.724419433027,0.004490552062634379,0.001
71,8466.85216923214,0.003907337231794372,0.001
72,8457.01549066407,0.003907337231794372,0.001
73,8426.25436501838,0.003907337231794372,0.001
74,8432.617915520166,0.003907337231794372,0.001
75,8470.827595400857,0.003907337231794372,0.001
76,8422.474873058649,0.003907337231794372,0.001
77,8410.151329353483,0.003907337231794372,0.001
78,8548.872673560008,0.003907337231794372,0.001
79,8425.50252728589,0.003907337231794372,0.001
80,8361.75893256899,0.003907337231794372,0.001
