Epoch,Training Loss,Validation MRR,Learning Rate
1,11627.827368798282,0,0.001
2,11294.369822094637,0,0.001
3,10810.781159624137,0,0.001
4,10641.4023831689,0,0.001
5,10488.774938876837,0,0.001
6,10284.373535968134,0,0.001
7,10185.383455728243,0,0.001
8,10048.252450193857,0,0.001
9,9969.034997486071,0,0.001
10,9993.48157979003,0,0.001
11,9873.078249190516,0.04163121688179672,0.001
12,9874.46321137728,0.04163121688179672,0.001
13,9951.625677396869,0.04163121688179672,0.001
14,9839.941773791552,0.04163121688179672,0.001
15,9791.034466626852,0.04163121688179672,0.001
16,9802.518240331667,0.04163121688179672,0.001
17,9739.669161571182,0.04163121688179672,0.001
18,9727.844283522387,0.04163121688179672,0.001
19,9691.697441184517,0.04163121688179672,0.001
20,9837.597879524174,0.04163121688179672,0.001
21,9659.267764095568,0.04322189942467958,0.001
22,9635.026595496265,0.04322189942467958,0.001
23,9603.506797339265,0.04322189942467958,0.001
24,9586.400123945816,0.04322189942467958,0.001
25,9560.612820613373,0.04322189942467958,0.001
26,9522.872244898825,0.04322189942467958,0.001
27,9514.847302262371,0.04322189942467958,0.001
28,9497.552749566335,0.04322189942467958,0.001
29,9487.102721264724,0.04322189942467958,0.001
30,9486.10510247829,0.04322189942467958,0.001
31,9439.80995740997,0.2669091350398958,0.001
32,9442.719962544872,0.2669091350398958,0.001
33,9492.82568894928,0.2669091350398958,0.001
34,9462.77573155116,0.2669091350398958,0.001
35,9465.75810636973,0.2669091350398958,0.001
36,9390.284526879052,0.2669091350398958,0.001
37,9378.532838694888,0.2669091350398958,0.001
38,9375.582893047482,0.2669091350398958,0.001
39,9365.498098255921,0.2669091350398958,0.001
40,9366.474477288759,0.2669091350398958,0.001
41,9336.411949167787,0.22957123396918178,0.001
42,9321.244245970616,0.22957123396918178,0.001
43,9375.709468051231,0.22957123396918178,0.001
44,9330.114845419152,0.22957123396918178,0.001
45,9314.424937988673,0.22957123396918178,0.001
46,9411.970889242713,0.22957123396918178,0.001
47,9295.307461195032,0.22957123396918178,0.001
48,9303.728648169345,0.22957123396918178,0.001
49,9280.42200079478,0.22957123396918178,0.001
50,9275.721775411603,0.22957123396918178,0.001
51,9265.750246967285,0.2523651879746467,0.001
52,9252.924231232257,0.2523651879746467,0.001
53,9257.444918022577,0.2523651879746467,0.001
54,9238.494526342301,0.2523651879746467,0.001
55,9255.438508547544,0.2523651879746467,0.001
56,9262.118468333096,0.2523651879746467,0.001
57,9230.951077883885,0.2523651879746467,0.001
58,9238.000477057312,0.2523651879746467,0.001
59,9208.627578963911,0.2523651879746467,0.001
60,9212.396281472304,0.2523651879746467,0.001
61,9198.550932768943,0.25844932487234473,0.001
62,9174.321993153988,0.25844932487234473,0.001
63,9250.418934766727,0.25844932487234473,0.001
64,9157.033066684668,0.25844932487234473,0.001
65,9164.57051842197,0.25844932487234473,0.001
66,9179.526818058617,0.25844932487234473,0.001
67,9197.765655454561,0.25844932487234473,0.001
68,9201.924146118985,0.25844932487234473,0.001
69,9147.505116705002,0.25844932487234473,0.001
70,9118.825108094128,0.25844932487234473,0.001
71,9116.878411224772,0.2043593223206699,0.001
72,9103.294927584571,0.2043593223206699,0.001
73,9130.847023609189,0.2043593223206699,0.001
74,9153.625852852978,0.2043593223206699,0.001
75,9112.683614977583,0.2043593223206699,0.001
76,9128.663707941798,0.2043593223206699,0.001
77,9099.888910374704,0.2043593223206699,0.001
78,9079.307999704592,0.2043593223206699,0.001
79,9096.390548073805,0.2043593223206699,0.001
80,9097.935704779882,0.2043593223206699,0.001
