Epoch,Training Loss,Validation MRR,Learning Rate
1,10122.782619356063,0,0.001
2,10007.89646608315,0,0.001
3,9760.828334741333,0,0.001
4,9536.3457929143,0,0.001
5,9348.911704008955,0,0.001
6,9197.069843364408,0,0.001
7,9116.646551649614,0,0.001
8,8998.022713198949,0,0.001
9,8910.825421184427,0,0.001
10,8831.544140242488,0,0.001
11,8762.70762693381,0.00795501726679504,0.001
12,8718.92542357355,0.00795501726679504,0.001
13,8654.66382798143,0.00795501726679504,0.001
14,8635.464366627617,0.00795501726679504,0.001
15,8598.987234955383,0.00795501726679504,0.001
16,8548.689981847512,0.00795501726679504,0.001
17,8516.80779044495,0.00795501726679504,0.001
18,8472.17664356235,0.00795501726679504,0.001
19,8464.485183639603,0.00795501726679504,0.001
20,8458.74004810262,0.00795501726679504,0.001
21,8441.702206698978,0.016758760786615312,0.001
22,8414.330520812144,0.016758760786615312,0.001
23,8381.895310108912,0.016758760786615312,0.001
24,8380.727127611672,0.016758760786615312,0.001
25,8367.145467022314,0.016758760786615312,0.001
26,8364.884527906504,0.016758760786615312,0.001
27,8339.338041978246,0.016758760786615312,0.001
28,8321.73094558212,0.016758760786615312,0.001
29,8307.973616304858,0.016758760786615312,0.001
30,8290.594636115722,0.016758760786615312,0.001
31,8273.4502867493,0.012621183646842837,0.001
32,8262.64674538457,0.012621183646842837,0.001
33,8248.342209819115,0.012621183646842837,0.001
34,8223.249056962663,0.012621183646842837,0.001
35,8214.643554130673,0.012621183646842837,0.001
36,8191.215416528035,0.012621183646842837,0.001
37,8180.881682365277,0.012621183646842837,0.001
38,8161.499507231919,0.012621183646842837,0.001
39,8147.39755743792,0.012621183646842837,0.001
40,8142.079038543041,0.012621183646842837,0.001
41,8130.1874786906665,0.012366047129034996,0.001
42,8120.750614652368,0.012366047129034996,0.001
43,8100.608719569688,0.012366047129034996,0.001
44,8081.254080759335,0.012366047129034996,0.001
45,8073.081360147976,0.012366047129034996,0.001
46,8060.269740244651,0.012366047129034996,0.001
47,8042.502992084187,0.012366047129034996,0.001
