Epoch,Training Loss,Validation MRR,Learning Rate
1,13951.253162463701,0,0.001
2,5094.712787019035,0,0.001
3,4153.39278319934,0,0.001
4,3760.6638886270425,0,0.001
5,3607.229768424414,0,0.001
6,3563.7711663831005,0,0.001
7,3529.297823394901,0,0.001
8,3508.704110802738,0,0.001
9,3398.7522321544316,0,0.001
10,3300.6988335232836,0,0.001
11,3252.380240831948,0,0.001
12,3235.3598471115893,0,0.001
13,3225.310127869652,0,0.001
14,3245.516094718345,0,0.001
15,3198.6757667932625,0,0.001
16,3193.140780891945,0,0.001
17,3144.9838099684857,0,0.001
18,3142.3422619587445,0,0.001
19,3122.1659172945315,0,0.001
20,3116.1736922841255,0,0.001
21,3119.5024350930626,0.11022713780403137,0.001
22,3114.26356851585,0.11022713780403137,0.001
23,3095.5867139885668,0.11022713780403137,0.001
24,3092.287910179689,0.11022713780403137,0.001
25,3088.102395920097,0.11022713780403137,0.001
26,3070.4945374058743,0.11022713780403137,0.001
27,3061.811930100541,0.11022713780403137,0.001
28,3062.1065626625564,0.11022713780403137,0.001
29,3055.743155784913,0.11022713780403137,0.001
30,3045.8375073424886,0.11022713780403137,0.001
31,3035.2151139832326,0.11022713780403137,0.001
32,3030.4590914320665,0.11022713780403137,0.001
33,3033.405750340979,0.11022713780403137,0.001
34,3031.013888540607,0.11022713780403137,0.001
35,3022.8615531554105,0.11022713780403137,0.001
36,3017.1679608335003,0.11022713780403137,0.001
37,3023.018261711315,0.11022713780403137,0.001
38,3013.3794328699464,0.11022713780403137,0.001
39,3012.8873612687357,0.11022713780403137,0.001
40,3013.9021871863943,0.11022713780403137,0.001
41,3027.8885746175974,0.0803825631737709,0.001
42,3024.9876297221276,0.0803825631737709,0.001
43,3028.153100747454,0.0803825631737709,0.001
44,3034.7440805174306,0.0803825631737709,0.001
45,3030.1373340875516,0.0803825631737709,0.001
46,3023.0979051679933,0.0803825631737709,0.001
47,3005.0060472687846,0.0803825631737709,0.001
48,3005.382811476269,0.0803825631737709,0.001
49,3021.4578605101765,0.0803825631737709,0.001
50,3017.1589617957848,0.0803825631737709,0.001
51,3010.019044740892,0.0803825631737709,0.001
52,3019.1704118800963,0.0803825631737709,0.001
53,3016.0186905779615,0.0803825631737709,0.001
54,3008.7766735051614,0.0803825631737709,0.001
55,3011.1978962615317,0.0803825631737709,0.001
56,3008.8449573583966,0.0803825631737709,0.001
57,3003.0208014444916,0.0803825631737709,0.001
58,3001.8887071022514,0.0803825631737709,0.001
59,2998.387766337999,0.0803825631737709,0.001
60,2995.715944254149,0.0803825631737709,0.001
61,2988.301742619515,0.06994106620550156,0.001
62,2993.389928920969,0.06994106620550156,0.001
63,2992.137180764087,0.06994106620550156,0.001
64,2982.739097037489,0.06994106620550156,0.001
65,2989.0527265568403,0.06994106620550156,0.001
66,2985.1193982404893,0.06994106620550156,0.001
67,2993.8439931320845,0.06994106620550156,0.001
68,2978.206738075434,0.06994106620550156,0.001
69,2987.555030547136,0.06994106620550156,0.001
70,2989.5938146314843,0.06994106620550156,0.001
71,2977.703370951238,0.06994106620550156,0.001
72,2990.1058529273782,0.06994106620550156,0.001
73,2991.0488994217044,0.06994106620550156,0.001
74,2997.53378870508,0.06994106620550156,0.001
75,2985.1359961988205,0.06994106620550156,0.001
76,2981.6522671341786,0.06994106620550156,0.001
77,2975.985082006937,0.06994106620550156,0.001
78,2975.185066063988,0.06994106620550156,0.001
79,2972.607546155432,0.06994106620550156,0.001
80,2977.74258501913,0.06994106620550156,0.001
81,2961.1494300675126,0.06600187718868256,0.001
82,2971.8683147634797,0.06600187718868256,0.001
83,2972.610784283959,0.06600187718868256,0.001
