Epoch,Training Loss,Validation MRR,Learning Rate
1,41646.78186184571,0,0.001
2,21867.582028505833,0,0.001
3,16341.285207974806,0,0.001
4,13506.588274403299,0,0.001
5,11188.113411208673,0,0.001
6,9159.186163087385,0,0.001
7,7503.555777206226,0,0.001
8,6188.202193785429,0,0.001
9,5162.0911325622565,0,0.001
10,4339.780116517678,0,0.001
11,3743.247210840148,0,0.001
12,3367.1027471567736,0,0.001
13,3058.5881003680965,0,0.001
14,2829.7818708575664,0,0.001
15,2645.56804153922,0,0.001
16,2529.9349249921465,0,0.001
17,2421.6747907206204,0,0.001
18,2337.5045912867918,0,0.001
19,2300.880028181307,0,0.001
20,2235.7496937278365,0,0.001
21,2220.6134052184543,0.028277849778532982,0.001
22,2148.6778784959324,0.028277849778532982,0.001
23,2108.9418101965857,0.028277849778532982,0.001
24,2123.5525816237996,0.028277849778532982,0.001
25,2154.7922959592306,0.028277849778532982,0.001
26,2109.6326418696663,0.028277849778532982,0.001
27,2048.6364976921845,0.028277849778532982,0.001
28,2037.511799145657,0.028277849778532982,0.001
29,2006.193354643492,0.028277849778532982,0.001
30,2001.4107764117382,0.028277849778532982,0.001
31,2027.0171884177935,0.028277849778532982,0.001
32,2026.3125164774713,0.028277849778532982,0.001
33,2010.6428079527457,0.028277849778532982,0.001
34,1979.4212346687714,0.028277849778532982,0.001
35,1905.2026533735432,0.028277849778532982,0.001
36,1936.022671961567,0.028277849778532982,0.001
37,2047.1131139514548,0.028277849778532982,0.001
38,1956.2094060263207,0.028277849778532982,0.001
39,1911.254892107769,0.028277849778532982,0.001
40,1909.5997337622614,0.028277849778532982,0.001
41,1897.4694361185484,0.019710365682840347,0.001
42,1914.1969009901998,0.019710365682840347,0.001
43,1965.9400954733467,0.019710365682840347,0.001
44,1890.2729976447283,0.019710365682840347,0.001
45,1911.75394129429,0.019710365682840347,0.001
46,1886.392731444331,0.019710365682840347,0.001
47,1958.244396903699,0.019710365682840347,0.001
48,1928.111270193356,0.019710365682840347,0.001
49,1888.3172763463488,0.019710365682840347,0.001
50,1902.1728270281817,0.019710365682840347,0.001
51,1963.6632144468977,0.019710365682840347,0.001
52,1953.8625891490867,0.019710365682840347,0.001
53,1874.494630493904,0.019710365682840347,0.001
54,1848.8918639177432,0.019710365682840347,0.001
55,1924.7058654226585,0.019710365682840347,0.001
56,1882.4888735644017,0.019710365682840347,0.001
57,1909.8981647960743,0.019710365682840347,0.001
58,1905.365245666233,0.019710365682840347,0.001
59,1908.491732557741,0.019710365682840347,0.001
60,1885.2658329129688,0.019710365682840347,0.001
61,1894.1650595943302,0.0205475352704525,0.001
62,1909.4102924086692,0.0205475352704525,0.001
63,1841.5729716846836,0.0205475352704525,0.001
64,1923.2349792450677,0.0205475352704525,0.001
65,1887.7973505429065,0.0205475352704525,0.001
