gene/protein_9796	gene/protein_56992	1
gene/protein_7918	gene/protein_9240	1
gene/protein_8233	gene/protein_23548	1
gene/protein_4899	gene/protein_11253	1
gene/protein_5297	gene/protein_8601	1
gene/protein_6564	gene/protein_8933	1
gene/protein_8668	gene/protein_22976	1
gene/protein_10826	gene/protein_345274	1
gene/protein_4489	gene/protein_7157	1
gene/protein_6272	gene/protein_54873	1
gene/protein_4041	gene/protein_50943	1
gene/protein_6202	gene/protein_9733	1
gene/protein_924	gene/protein_94097	1
gene/protein_65005	gene/protein_80775	1
gene/protein_5704	gene/protein_80755	1
gene/protein_1958	gene/protein_54965	1
gene/protein_6633	gene/protein_9128	1
gene/protein_85289	gene/protein_386675	1
gene/protein_6872	gene/protein_85028	1
gene/protein_10451	gene/protein_54764	1
gene/protein_3846	gene/protein_386682	1
gene/protein_3163	gene/protein_91289	1
gene/protein_2353	gene/protein_23411	1
gene/protein_5611	gene/protein_7316	1
gene/protein_3965	gene/protein_10130	1
gene/protein_4609	gene/protein_10084	1
gene/protein_9064	gene/protein_50943	1
gene/protein_54474	gene/protein_115265	1
gene/protein_114791	gene/protein_653784	1
gene/protein_2147	gene/protein_6696	1
gene/protein_6633	gene/protein_23385	1
gene/protein_1759	gene/protein_23523	1
gene/protein_10726	gene/protein_55764	1
gene/protein_963	gene/protein_57228	1
gene/protein_2932	gene/protein_4853	1
gene/protein_55739	gene/protein_386676	1
gene/protein_57709	gene/protein_93380	1
gene/protein_5817	gene/protein_84102	1
gene/protein_1186	gene/protein_54682	1
gene/protein_891	gene/protein_9133	1
gene/protein_2932	gene/protein_11033	1
gene/protein_22809	gene/protein_100130958	1
gene/protein_1017	gene/protein_3276	1
gene/protein_4728	gene/protein_25915	1
gene/protein_5307	gene/protein_337974	1
gene/protein_5295	gene/protein_6850	1
gene/protein_6732	gene/protein_7325	1
gene/protein_3238	gene/protein_9935	1
gene/protein_28969	gene/protein_55248	1
gene/protein_10454	gene/protein_11151	1
gene/protein_344387	gene/protein_653269	1
gene/protein_84988	gene/protein_91419	1
gene/protein_2114	gene/protein_203286	1
gene/protein_6272	gene/protein_23386	1
gene/protein_6667	gene/protein_23636	1
gene/protein_28511	gene/protein_406881	1
gene/protein_3433	gene/protein_6773	1
gene/protein_6790	gene/protein_55352	1
gene/protein_6434	gene/protein_7307	1
gene/protein_10524	gene/protein_653121	1
gene/protein_30012	gene/protein_115265	1
gene/protein_22803	gene/protein_55677	1
gene/protein_6125	gene/protein_23029	1
gene/protein_8773	gene/protein_375260	1
gene/protein_801	gene/protein_3845	1
gene/protein_3628	gene/protein_55759	1
gene/protein_5536	gene/protein_653404	1
gene/protein_9129	gene/protein_11198	1
gene/protein_10291	gene/protein_29093	1
gene/protein_7536	gene/protein_8241	1
gene/protein_4233	gene/protein_84517	1
gene/protein_1869	gene/protein_3428	1
gene/protein_5810	gene/protein_81631	1
gene/protein_3866	gene/protein_84707	1
gene/protein_10664	gene/protein_255919	1
gene/protein_5875	gene/protein_10963	1
gene/protein_8533	gene/protein_144699	1
gene/protein_151	gene/protein_57007	1
gene/protein_4637	gene/protein_55607	1
gene/protein_4682	gene/protein_5885	1
gene/protein_339834	gene/protein_552900	1
gene/protein_7428	gene/protein_83729	1
gene/protein_27069	gene/protein_79811	1
gene/protein_675	gene/protein_5889	1
gene/protein_166	gene/protein_1894	1
gene/protein_1122	gene/protein_5870	1
gene/protein_1175	gene/protein_55589	1
gene/protein_4809	gene/protein_6432	1
gene/protein_1650	gene/protein_3608	1
gene/protein_6502	gene/protein_6667	1
gene/protein_3181	gene/protein_6613	1
gene/protein_26121	gene/protein_159163	1
gene/protein_135932	gene/protein_144404	1
gene/protein_682	gene/protein_9238	1
gene/protein_754	gene/protein_5079	1
gene/protein_1203	gene/protein_203562	1
gene/protein_1847	gene/protein_1994	1
gene/protein_9921	gene/protein_79003	1
gene/protein_4726	gene/protein_23530	1
gene/protein_6667	gene/protein_6874	1
gene/protein_65220	gene/protein_79843	1
gene/protein_10159	gene/protein_10970	1
gene/protein_5476	gene/protein_8000	1
gene/protein_2770	gene/protein_58157	1
gene/protein_10484	gene/protein_10782	1
gene/protein_10455	gene/protein_84461	1
gene/protein_7182	gene/protein_8021	1
gene/protein_80854	gene/protein_121504	1
gene/protein_10946	gene/protein_22938	1
gene/protein_7580	gene/protein_386675	1
gene/protein_3169	gene/protein_26173	1
gene/protein_7341	gene/protein_84464	1
gene/protein_1111	gene/protein_11177	1
gene/protein_7014	gene/protein_84717	1
gene/protein_6839	gene/protein_202051	1
gene/protein_7276	gene/protein_64794	1
gene/protein_339229	gene/protein_390916	1
gene/protein_11325	gene/protein_51070	1
gene/protein_9135	gene/protein_220929	1
gene/protein_84277	gene/protein_147872	1
gene/protein_841	gene/protein_51283	1
gene/protein_23137	gene/protein_56160	1
gene/protein_358	gene/protein_157556	1
gene/protein_2113	gene/protein_5791	1
gene/protein_7013	gene/protein_7015	1
gene/protein_23404	gene/protein_339324	1
gene/protein_8646	gene/protein_353332	1
gene/protein_6789	gene/protein_10980	1
gene/protein_51614	gene/protein_340481	1
gene/protein_1956	gene/protein_6714	1
gene/protein_3024	gene/protein_5580	1
gene/protein_3662	gene/protein_84058	1
gene/protein_120939	gene/protein_149111	1
gene/protein_8335	gene/protein_8607	1
gene/protein_1017	gene/protein_5111	1
gene/protein_2623	gene/protein_7525	1
gene/protein_1053	gene/protein_3574	1
gene/protein_353132	gene/protein_388677	1
gene/protein_1460	gene/protein_85457	1
gene/protein_23013	gene/protein_54039	1
gene/protein_2623	gene/protein_9712	1
gene/protein_5499	gene/protein_55718	1
gene/protein_7375	gene/protein_27339	1
gene/protein_7107	gene/protein_79699	1
gene/protein_3303	gene/protein_5830	1
gene/protein_5111	gene/protein_5501	1
gene/protein_6613	gene/protein_10055	1
gene/protein_10025	gene/protein_81857	1
gene/protein_54915	gene/protein_100130613	1
gene/protein_5573	gene/protein_6195	1
gene/protein_4088	gene/protein_5515	1
gene/protein_5359	gene/protein_353141	1
gene/protein_4222	gene/protein_57862	1
gene/protein_1946	gene/protein_653166	1
gene/protein_5355	gene/protein_22839	1
gene/protein_205	gene/protein_6352	1
gene/protein_2261	gene/protein_63940	1
gene/protein_1490	gene/protein_151230	1
gene/protein_4609	gene/protein_6566	1
gene/protein_2885	gene/protein_5290	1
gene/protein_1874	gene/protein_3619	1
gene/protein_2332	gene/protein_25957	1
gene/protein_1107	gene/protein_7138	1
gene/protein_119	gene/protein_5590	1
gene/protein_4738	gene/protein_8367	1
gene/protein_51255	gene/protein_51619	1
gene/protein_11100	gene/protein_113730	1
gene/protein_10492	gene/protein_57654	1
gene/protein_1874	gene/protein_80764	1
gene/protein_7514	gene/protein_10413	1
gene/protein_1836	gene/protein_2353	1
gene/protein_4000	gene/protein_7726	1
gene/protein_7329	gene/protein_64755	1
gene/protein_64881	gene/protein_79649	1
gene/protein_7073	gene/protein_10127	1
gene/protein_3732	gene/protein_85027	1
gene/protein_1871	gene/protein_3065	1
gene/protein_5080	gene/protein_55768	1
gene/protein_7329	gene/protein_8575	1
gene/protein_1295	gene/protein_4856	1
gene/protein_830	gene/protein_11344	1
gene/protein_4879	gene/protein_9759	1
gene/protein_3024	gene/protein_25975	1
gene/protein_8766	gene/protein_84418	1
gene/protein_6688	gene/protein_9770	1
gene/protein_5708	gene/protein_8725	1
gene/protein_5467	gene/protein_8841	1
gene/protein_5728	gene/protein_7804	1
gene/protein_2033	gene/protein_5629	1
gene/protein_3588	gene/protein_150709	1
gene/protein_57175	gene/protein_135295	1
gene/protein_5042	gene/protein_7316	1
gene/protein_932	gene/protein_403313	1
gene/protein_4778	gene/protein_347148	1
gene/protein_6773	gene/protein_7398	1
gene/protein_1477	gene/protein_7316	1
gene/protein_3875	gene/protein_9050	1
gene/protein_843	gene/protein_9994	1
gene/protein_2495	gene/protein_7248	1
gene/protein_7316	gene/protein_54546	1
gene/protein_54544	gene/protein_653240	1
gene/protein_1856	gene/protein_120892	1
gene/protein_2768	gene/protein_2784	1
gene/protein_3671	gene/protein_51368	1
gene/protein_7316	gene/protein_10576	1
gene/protein_5579	gene/protein_7299	1
gene/protein_3842	gene/protein_146705	1
gene/protein_1849	gene/protein_7322	1
gene/protein_1432	gene/protein_203522	1
gene/protein_5276	gene/protein_56893	1
gene/protein_5423	gene/protein_8969	1
gene/protein_10488	gene/protein_10978	1
gene/protein_1543	gene/protein_80218	1
gene/protein_10987	gene/protein_25793	1
gene/protein_7316	gene/protein_51504	1
gene/protein_23601	gene/protein_128869	1
gene/protein_7536	gene/protein_92283	1
gene/protein_1054	gene/protein_7316	1
gene/protein_6613	gene/protein_6900	1
gene/protein_7629	gene/protein_55633	1
gene/protein_10236	gene/protein_55666	1
gene/protein_4149	gene/protein_10169	1
gene/protein_2886	gene/protein_51808	1
gene/protein_4627	gene/protein_10627	1
gene/protein_4702	gene/protein_147700	1
gene/protein_4878	gene/protein_23203	1
gene/protein_1874	gene/protein_90381	1
gene/protein_10559	gene/protein_115653	1
gene/protein_3630	gene/protein_219681	1
gene/protein_6464	gene/protein_25759	1
gene/protein_7266	gene/protein_80169	1
gene/protein_4627	gene/protein_26064	1
gene/protein_1956	gene/protein_7099	1
gene/protein_23385	gene/protein_113146	1
gene/protein_163059	gene/protein_386677	1
gene/protein_8175	gene/protein_9879	1
gene/protein_3398	gene/protein_84260	1
gene/protein_841	gene/protein_10392	1
gene/protein_10726	gene/protein_55112	1
gene/protein_11162	gene/protein_23304	1
gene/protein_127002	gene/protein_375791	1
gene/protein_3615	gene/protein_10535	1
gene/protein_4100	gene/protein_163126	1
gene/protein_56935	gene/protein_200232	1
gene/protein_1958	gene/protein_10817	1
gene/protein_8525	gene/protein_50855	1
gene/protein_7307	gene/protein_11168	1
gene/protein_3554	gene/protein_150709	1
gene/protein_5111	gene/protein_10293	1
gene/protein_2041	gene/protein_8893	1
gene/protein_8087	gene/protein_54984	1
gene/protein_9512	gene/protein_9589	1
gene/protein_6132	gene/protein_6159	1
gene/protein_4591	gene/protein_27185	1
gene/protein_55075	gene/protein_84940	1
gene/protein_6636	gene/protein_84967	1
gene/protein_2885	gene/protein_7454	1
gene/protein_7316	gene/protein_79869	1
gene/protein_409	gene/protein_29123	1
gene/protein_6125	gene/protein_128312	1
gene/protein_1029	gene/protein_23163	1
gene/protein_8533	gene/protein_64149	1
gene/protein_4222	gene/protein_5075	1
gene/protein_5427	gene/protein_54107	1
gene/protein_60	gene/protein_6927	1
gene/protein_84330	gene/protein_287015	1
gene/protein_53	gene/protein_3358	1
gene/protein_8363	gene/protein_10013	1
gene/protein_10142	gene/protein_727837	1
gene/protein_5145	gene/protein_6774	1
gene/protein_3326	gene/protein_9641	1
gene/protein_64837	gene/protein_219988	1
gene/protein_526	gene/protein_2058	1
gene/protein_55030	gene/protein_85289	1
gene/protein_3727	gene/protein_6122	1
gene/protein_2896	gene/protein_84294	1
gene/protein_5364	gene/protein_5879	1
gene/protein_890	gene/protein_5886	1
gene/protein_90957	gene/protein_386675	1
gene/protein_2623	gene/protein_27156	1
gene/protein_323	gene/protein_84144	1
gene/protein_85450	gene/protein_170572	1
gene/protein_3837	gene/protein_55720	1
gene/protein_6628	gene/protein_11339	1
gene/protein_374395	gene/protein_100534611	1
gene/protein_9730	gene/protein_84464	1
gene/protein_29095	gene/protein_83862	1
gene/protein_22894	gene/protein_132141	1
gene/protein_6688	gene/protein_27250	1
gene/protein_55837	gene/protein_56893	1
gene/protein_5976	gene/protein_7316	1
gene/protein_9618	gene/protein_105376752	1
gene/protein_5347	gene/protein_23299	1
gene/protein_81851	gene/protein_196472	1
gene/protein_8662	gene/protein_80714	1
gene/protein_3241	gene/protein_25823	1
gene/protein_1874	gene/protein_11130	1
gene/protein_5516	gene/protein_85440	1
gene/protein_904	gene/protein_5305	1
gene/protein_10009	gene/protein_10524	1
gene/protein_54206	gene/protein_645432	1
gene/protein_2353	gene/protein_11022	1
gene/protein_9632	gene/protein_22872	1
gene/protein_8544	gene/protein_10657	1
gene/protein_8464	gene/protein_117143	1
gene/protein_339366	gene/protein_386682	1
gene/protein_3909	gene/protein_404552	1
gene/protein_57511	gene/protein_83548	1
gene/protein_2040	gene/protein_3775	1
gene/protein_3172	gene/protein_8841	1
gene/protein_10277	gene/protein_10534	1
gene/protein_4543	gene/protein_9898	1
gene/protein_3958	gene/protein_8540	1
gene/protein_158427	gene/protein_201163	1
gene/protein_51100	gene/protein_56904	1
gene/protein_1994	gene/protein_4087	1
gene/protein_4929	gene/protein_6925	1
gene/protein_5087	gene/protein_55536	1
gene/protein_2036	gene/protein_7529	1
gene/protein_1207	gene/protein_7316	1
gene/protein_6093	gene/protein_79637	1
