multiplex	node	score
Disease	disease_5154	0.0001571495754608273
Disease	disease_5281	0.00014997890064325544
Disease	disease_8383	0.00011690905737699014
Disease	disease_11849	0.00011684557799790342
Disease	disease_1134	0.00011487490233501244
Disease	disease_16168	0.0001012855581938258
Disease	disease_5148	8.766094493357233e-05
Disease	disease_19182	8.29193416299239e-05
Disease	disease_5240	7.815988162236187e-05
Disease	disease_1336	7.666528089644782e-05
Disease	disease_18830	7.40014325581399e-05
Disease	disease_5231	7.359782505896159e-05
Disease	disease_1922	7.272660260661353e-05
Disease	disease_18883	6.679249963967059e-05
Disease	disease_2050	6.553312591017214e-05
Disease	disease_4668	6.550447359173625e-05
Disease	disease_5306	6.264327392641211e-05
Disease	disease_100192	5.638822783139208e-05
Disease	disease_5384	5.130660851565529e-05
Disease	disease_7126	4.9398528495515394e-05
Disease	disease_5354	4.869518640206698e-05
Disease	disease_5359	4.6772024432016305e-05
Disease	disease_43377	4.380457880469128e-05
Disease	disease_9960	4.378000791895881e-05
Disease	disease_32920	4.133222294391492e-05
Disease	disease_5027	3.990084054546854e-05
Disease	disease_7256	3.984676658712205e-05
Disease	disease_6891	3.8699283355918065e-05
Disease	disease_7079	3.818263740234043e-05
Disease	disease_11429	3.8003393205951565e-05
Disease	disease_2046	3.768752072769236e-05
Disease	disease_6004	3.6298124210047735e-05
Disease	disease_8015	3.415475393816925e-05
Disease	disease_5433	3.3827402371389896e-05
Disease	disease_2317	3.3445598099225775e-05
Disease	disease_10198	3.334087998883826e-05
Disease	disease_5011	3.225463703260309e-05
Disease	disease_2009	3.157284449246506e-05
Disease	disease_5379	3.033182744634848e-05
Disease	disease_1442	2.9518931556758332e-05
Disease	disease_5532	2.92482330165946e-05
Disease	disease_15541	2.9138927764879483e-05
Disease	disease_1343	2.9019059039943152e-05
Disease	disease_12819	2.8576113411718265e-05
Disease	disease_3847	2.8494828869632742e-05
Disease	disease_5263	2.8376685887788908e-05
Disease	disease_5002	2.8097061136268007e-05
Disease	disease_12048	2.7891089146808456e-05
Disease	disease_5159	2.7398369635508295e-05
Disease	disease_19142	2.738350763602608e-05
Disease	disease_23122	2.7342334302522222e-05
Disease	disease_9974	2.69586280083541e-05
Disease	disease_2049	2.6939636388686994e-05
Disease	disease_8315	2.686598109698579e-05
Disease	disease_2691	2.6841233410995324e-05
Disease	disease_37939	2.653130470224532e-05
Disease	disease_6210	2.6410162310998656e-05
Disease	disease_18532	2.6144436986735807e-05
Disease	disease_37821	2.6120707663283042e-05
Disease	disease_11776	2.5996655635770846e-05
Disease	disease_1609	2.58449350179653e-05
Disease	disease_18055	2.5483142986681892e-05
Disease	disease_16216	2.5368506332124657e-05
Disease	disease_18534	2.5221309250978153e-05
Disease	disease_18533	2.5025550158232547e-05
Disease	disease_5393	2.467022344192824e-05
Disease	disease_5010	2.4548937644761804e-05
Disease	disease_1475	2.446955967294376e-05
Disease	disease_4989	2.392872224374313e-05
Disease	disease_992	2.3778100639508627e-05
Disease	disease_8903	2.376104026302157e-05
Disease	disease_7264	2.3735262566532717e-05
Disease	disease_4849	2.3627158520328106e-05
Disease	disease_11751	2.3371901366299708e-05
Disease	disease_3582	2.322347207500578e-05
Disease	disease_1056	2.288083172388486e-05
Disease	disease_4950	2.2817999969333715e-05
Disease	disease_21100	2.2441515482801576e-05
Disease	disease_2254	2.243023989665039e-05
Disease	disease_21085	2.223215052573377e-05
Disease	disease_7648	2.2184439132981724e-05
Disease	disease_18184	2.1930212218108207e-05
Disease	disease_5109	2.1230620810430605e-05
Disease	disease_5719	2.052868038207425e-05
Disease	disease_6810	2.0509591624860674e-05
Disease	disease_4664	2.0357187453144778e-05
Disease	disease_5364	2.030915211413556e-05
Disease	disease_9468	1.9680259656850398e-05
Disease	disease_4784	1.929467450065069e-05
Disease	disease_10138	1.8716484354417673e-05
Disease	disease_12268	1.8708963960054903e-05
Disease	disease_11057	1.861310434323037e-05
Disease	disease_4765	1.8490836032177424e-05
Disease	disease_19171	1.8179918727821528e-05
Disease	disease_4425	1.80100792287278e-05
Disease	disease_5560	1.781078122510484e-05
Disease	disease_2629	1.7746444959399247e-05
Disease	disease_3785	1.768925021104145e-05
Disease	disease_2308	1.7627218173252047e-05
Disease	disease_3781	1.7381142027900236e-05
Disease	disease_2313	1.6980915533715605e-05
Disease	disease_8000	1.6972394522652675e-05
Disease	disease_5277	1.6960121944402998e-05
